,question,options,correct_answer,correct_option,rationale,answer
0,1. 회계처리를 왜곡시켜 당기 경영성과나 당기 말 재무상태를 실제보다 좋게 표시한 기업이 있다. 이 기업이 실제보다 당기 경영 성과나 당기 말 재무상태를 좋게 표시하기 위하여 회계처리한 내용으로 적절한 것은?,"{'A': '자산 과소계상 또는 부채 과대계상', 'B': '자산 과소계상 또는 비용 과대계상', 'C': '비용 과대계상 또는 수익 과소계상', 'D': '자산 과대계상 또는 부채 과소계상'}",자산 과대계상 또는 부채 과소계상,opt_4,"### 설명: 주어진 질문은 기업이 재무제표를 왜곡하여 당기 경영성과와 재무상태를 실제보다 좋게 보이는 방식에 대해 묻고 있습니다. 이를 위해 기업은 일반적으로 자산을 과대계상하거나 부채를 과소계상하는 방법을 사용할 수 있습니다. 이런 방식으로 총 자산과 순자산이 증가하고, 부채 부담이 줄어드는 것처럼 보이게 합니다. 이로 인해 재무상태가 개선된 것처럼 보이며, 이는 실제보다 기업의 상태를 긍정적으로 보여줍니다.\n\n각 선택지를 분석하면:\n- A. 자산 과소계상 또는 부채 과대계상: 이는 기업의 재무상태를 실제보다 나쁘게 보이게 합니다. 따라서 오답입니다.\n- B. 자산 과소계상 또는 비용 과대계상: 이 역시 기업의 경영성과를 실제보다 나쁘게 보이게 하는 방법입니다. 따라서 오답입니다.\n- C. 비용 과대계상 또는 수익 과소계상: 이는 당기 경영성과를 낮추는 효과를 가지므로 오답입니다.\n- D. 자산 과대계상 또는 부채 과소계상: 이 방법은 당기 말 재무상태를 실제보다 좋게 표시할 수 있는 적절한 방법입니다.",opt_4
1,"4. 기업회계기준에 의한 희석주당이익을 산정할 때, 잠재적보통주에 해당하지 않는 것은?","{'A': '전환우선주', 'B': '신주인수권', 'C': '주식선택권', 'D': '상환우선주'}",상환우선주,opt_4,"### 설명: 희석주당이익 계산 시 잠재적 보통주에 해당하는 항목은 미래에 보통주로 전환될 가능성이 있는 금융상품이나 권리를 말합니다.\n\n- **A. 전환우선주:** 보통주로 전환될 가능성이 있는 우선주로, 잠재적 보통주에 해당합니다.\n- **B. 신주인수권:** 보통주를 구매할 수 있는 권리를 부여하며, 잠재적 보통주로 간주됩니다.\n- **C. 주식선택권:** 회사가 부여한 주식 구매 옵션으로, 잠재적 보통주에 포함됩니다.\n- **D. 상환우선주:** 보통주로 전환되지 않고 회사가 상환하는 우선주로, 잠재적 보통주에 해당하지 않습니다.\n\n따라서, 상환우선주는 잠재적 보통주에 포함되지 않습니다.",opt_4
2,6. 시산표를 작성하는 목적 중의 하나는 회계기록상의 오류를 발견하는 데 있다. 시산표에서 발견될 수 없는 오류는?,"{'A': '특정거래를 중복하여 기입한 오류', 'B': '대변금액을 차변에 기입한 오류', 'C': '현금계정 잔액을 기입하지 않은 오류', 'D': '차변금액을 대변에 기입한 오류'}",특정거래를 중복하여 기입한 오류,opt_1,"### 설명: 시산표는 차변과 대변의 합계가 일치하는지를 확인함으로써 회계기록의 정확성을 검사하는 데 사용됩니다. 하지만 모든 유형의 오류를 발견할 수 있는 것은 아닙니다. 시산표에서 발견될 수 없는 오류는 다음과 같은 경우가 있습니다: 1) 특정 거래를 중복하여 기록한 경우, 2) 올바른 계정에 잘못된 금액이 기록된 경우, 3) 금액은 맞지만 잘못된 계정이 사용된 경우 등입니다. 질문에서 주어진 선택지 중, 특정 거래를 중복하여 기입한 오류(A)는 차변과 대변의 합계에 영향을 미치지 않으므로 시산표에서는 발견되지 않습니다. 나머지 선택지(B, C, D)는 차변과 대변의 불일치를 초래할 수 있어 시산표에서 발견될 가능성이 있습니다. 따라서 답은 A입니다.",opt_1
3,7. (주)갑은 2001년도 초에 3년 만기 사채를 발행하였다. 옳지 않은 것은?,"{'A': '발행가액은 상환가액보다 크다.', 'B': '2002년도 말 장부가액은 2001년도 말보다 작다.', 'C': '2002년도 사채이자비용은 2001년도보다 작다.', 'D': '2002년도 사채이자비용은 현금이자지급액보다 크다.'}",2002년도 사채이자비용은 현금이자지급액보다 크다.,opt_4,"### 설명: 문제는 3년 만기 사채 발행과 관련된 상황에서 옳지 않은 선택지를 찾는 것입니다. 각 옵션을 분석하여 사채의 회계처리와 관련된 내용을 검토하겠습니다.  

#### 1. 옵션 A: 발행가액은 상환가액보다 크다.  
발행가액이 상환가액보다 크다는 표현은 사채가 할인발행이 아닌 프리미엄발행이라는 것을 의미합니다. 프리미엄발행의 경우, 발행가액이 상환가액보다 큽니다. 이 옵션은 옳을 수 있습니다. 

#### 2. 옵션 B: 2002년도 말 장부가액은 2001년도 말보다 작다.  
프리미엄발행의 경우, 사채의 장부가액은 시간이 지남에 따라 상환가액에 점점 가까워지도록 조정됩니다. 따라서, 시간이 지나면서 상환가액보다 높은 장부가액이 점차 감소합니다. 이는 맞는 진술입니다. 

#### 3. 옵션 C: 2002년도 사채이자비용은 2001년도보다 작다.  
프리미엄발행의 경우, 사채이자비용은 유효이자율법을 사용하여 계산되는데, 시간이 지남에 따라 장부가액이 감소하므로 이자비용도 점차 감소합니다. 따라서 이 진술은 옳습니다. 

#### 4. 옵션 D: 2002년도 사채이자비용은 현금이자지급액보다 크다.  
프리미엄발행일 경우, 사채이자비용은 현금이자보다 작아야 합니다. 왜냐하면 프리미엄 금액이 이자비용에서 차감되기 때문입니다. 따라서 이 진술은 옳지 않습니다. 

### 최종 답변: ",opt_4
4,9. ‘미수수익’과 ‘미지급비용’에 관한 설명으로 가장 옳은 것은?,"{'A': '차기 현금이 감소한다.', 'B': '미지급비용이 증가하면 차기 현금이 감소한다.', 'C': '미지급비용이 증가하면 차기 현금이 증가한다.', 'D': '차기 현금이 증가한다.'}",미지급비용이 증가하면 차기 현금이 감소한다.,opt_2,"### 설명: '미수수익'은 아직 현금으로 받지 못했지만 수익으로 계상한 금액을 의미하며, '미지급비용'은 아직 현금으로 지급하지 않았지만 비용으로 계상한 금액을 뜻합니다. '미지급비용'이 증가한다는 것은 해당 비용이 발생했지만 아직 현금으로 지급되지 않았음을 의미합니다. 따라서 이는 미래에 현금 지급 의무를 늘리게 되어 차기 현금의 감소로 이어질 수 있습니다. 이와 같은 논리로 정답은 B입니다. ### 최종답변: opt_2",opt_2
5,"10. (주)갑의당기매출액은￦50,000,000이다. 그리고(주)갑의 기말 현재 유동부채는 ￦3,000,000, 유동비율은 300％, 당좌비율은 200％이다. 재고자산회전율이 12회일 경우 매출총이익은? (단, 재고자산회전율은 기말재고자산과 매출원가를 기준으로 산정된 것이다)","{'A': '￦10,000,000', 'B': '￦14,000,000', 'C': '￦20,000,000', 'D': '￦24,000,000'}","￦14,000,000",opt_2,"### 설명: 
1. **유동비율과 당좌비율의 의미**: 
   - 유동비율은 유동자산과 유동부채의 비율로, 유동자산 / 유동부채 × 100으로 계산됩니다.
   - 당좌비율은 당좌자산(유동자산 – 재고자산)과 유동부채의 비율로, 당좌자산 / 유동부채 × 100으로 계산됩니다.

2. **유동자산 계산**:
   - 유동비율은 300%로 주어졌습니다. 따라서 유동자산 = 유동부채 × 3.
   - 유동부채는 ￦3,000,000이므로, 유동자산 = ￦3,000,000 × 3 = ￦9,000,000.

3. **당좌자산 계산**:
   - 당좌비율은 200%로 주어졌습니다. 따라서 당좌자산 = 유동부채 × 2.
   - 유동부채는 ￦3,000,000이므로, 당좌자산 = ￦3,000,000 × 2 = ￦6,000,000.

4. **재고자산 계산**:
   - 재고자산 = 유동자산 – 당좌자산.
   - 유동자산은 ￦9,000,000, 당좌자산은 ￦6,000,000이므로, 재고자산 = ￦9,000,000 – ￦6,000,000 = ￦3,000,000.

5. **재고자산회전율 공식**:
   - 문제에서 재고자산회전율은 매출원가 / 기말재고자산으로 정의되었습니다.
   - 재고자산회전율은 12회로 주어졌고, 기말재고자산은 ￦3,000,000이므로, 매출원가 = 재고자산회전율 × 기말재고자산.
   - 매출원가 = 12 × ￦3,000,000 = ￦36,000,000.

6. **매출총이익 계산**:
   - 매출총이익 = 매출액 – 매출원가.
   - 매출액은 ￦50,000,000, 매출원가는 ￦36,000,000이므로, 매출총이익 = ￦50,000,000 – ￦36,000,000 = ￦14,000,000.

7. **정답 선택**:
   - 계산 결과로 매출총이익은 ￦14,000,000입니다.

### 최종답변: opt_2",opt_2
6,11. 우리나라의 주식회사는 직전연도의 자산총액이 100억원 이상인 경우에 의무적으로 공인회계사로부터 외부회계감사를 받아야 한다. 이와 같이 기업이 공인회계사로부터 매년 회계감사를 받는 주요 이유는?,"{'A': '외부전문가의 도움에 의한 재무제표 작성', 'B': '회사 종업원들의 내부공모에 의한 부정과 횡령의 적발', 'C': '경영자의 재무제표 작성 및 표시에 대한 책임을 외부전문가에게 전가', 'D': '독립된 외부전문가의 검증을 통한 회계정보의 신뢰성 제고'}",독립된 외부전문가의 검증을 통한 회계정보의 신뢰성 제고,opt_4,"### 설명: 기업이 공인회계사로부터 매년 회계감사를 받는 주요 이유는 기업의 재무제표가 정확하고 신뢰할 수 있음을 보장하기 위해서입니다. 회계감사는 독립된 외부 전문가가 회사의 재무제표를 검토하고, 이를 통해 회계정보의 투명성과 신뢰성을 높이는 역할을 합니다. 이는 투자자, 채권자, 기타 이해관계자들이 재무제표를 신뢰하고 의사 결정을 내릴 수 있도록 돕습니다. 따라서 경영자의 책임을 외부에 전가하거나 단순히 내부 부정을 적발하는 것이 주된 목적이 아니라, 재무정보의 신뢰성을 제고하기 위한 것입니다.### 최종답변: D",opt_4
7,"12. 회계상의 거래는 분개와 전기의 과정을 거쳐 계정에 기입된다. 다음은 어떤 계정에 대한 전기내역의 일부이다. 이때 (㉠) 속에 기입할 계정과목으로 옳은 것은? | Additional_info: (차변) (대변)

3월 5일 매출 ×××
3월 30일 대손충당금 ×××
3월 10일 현금 ×××
3월 15일 매출환입 ×××","{'A': '매출채권', 'B': '상품', 'C': '대손상각비', 'D': '매입채무'}",매출채권,opt_1,"### 설명: 문제를 분석하면, (㉠)에 들어갈 계정과목은 주어진 거래와 관련된 계정을 의미합니다. 문제에서 제시된 거래를 하나씩 검토하겠습니다.\n1. 3월 5일 매출: 매출 발생 시 일반적으로 매출채권(또는 외상매출금)이 차변에 기록됩니다.\n2. 3월 30일 대손충당금: 매출채권과 관련된 손실을 충당하기 위한 계정과목으로 대손충당금이 대변에 기재된 것입니다.\n3. 3월 10일 현금: 매출채권의 회수로 인해 현금 계정이 차변에 기재됩니다.\n4. 3월 15일 매출환입: 매출채권에서 환입된 금액을 차감하기 위해 해당 계정이 기록됩니다.\n\n따라서, 위의 거래에서 공통적으로 연관된 계정은 매출채권입니다.\n\n### 최종답변: opt_1",opt_1
8,"13. (주)갑의 2009년도 기초자산은 ￦400,000, 기초부채는 ￦200,000, 기말자산은 ￦600,000, 기말부채는 ￦340,000이다. 2009년도 총비용이 ￦350,000인 경우 2009년도의 총수익은?","{'A': '￦340,000', 'B': '￦360,000', 'C': '￦410,000', 'D': '￦460,000'}","￦410,000",opt_3,"### 설명: 문제에서 제공된 정보를 사용하여 총수익을 계산하려면 기본 회계 방정식과 손익계산서를 이해해야 합니다. 

1. **기본 회계 방정식**: 자산 = 부채 + 자본 
   - 기초자산(￦400,000) = 기초부채(￦200,000) + 기초자본(￦200,000)
   - 기말자산(￦600,000) = 기말부채(￦340,000) + 기말자본(￦260,000)

2. **자본변동 계산**: 기초자본에서 기말자본으로 변동된 금액을 통해 순이익(또는 순손실)을 계산할 수 있습니다. 
   - 기말자본 = 기초자본 + 순이익(또는 순손실) - 배당금 (배당금은 제공되지 않았으므로 0으로 가정)
   - 따라서: ￦260,000 = ￦200,000 + 순이익
   - 순이익 = ￦260,000 - ￦200,000 = ￦60,000

3. **손익계산서 방정식**: 순이익 = 총수익 - 총비용 
   - 순이익(￦60,000) = 총수익 - 총비용(￦350,000)
   - 총수익 = 순이익 + 총비용 = ￦60,000 + ￦350,000 = ￦410,000

따라서 2009년도의 총수익은 ￦410,000입니다.

### 최종답변: opt_3",opt_3
9,14. 보수주의는 오랜 회계관행 중의 하나이다. 다음의 회계처리내용 중 보수주의 개념에 가장 부합되는 회계처리는?,"{'A': '유형자산의 수선·유지를 위한 지출을 수익적 지출보다는 자본적 지출로 처리', 'B': '유형자산의 회수가능액이 장부가액에 미달하는 경우에 그 차액을 손실로 처리', 'C': '물가상승 시 선입선출법에 의한 재고자산의 평가', 'D': '경상개발비를 무형자산인 개발비로 처리'}",유형자산의 회수가능액이 장부가액에 미달하는 경우에 그 차액을 손실로 처리,opt_2,"### 설명: 보수주의란 회계에서 손실은 예상되면 즉시 인식하고, 수익은 실현될 때까지 인식하지 않는 신중한 접근 방식을 의미합니다. 이는 재무제표 이용자에게 지나치게 낙관적인 정보를 제공하지 않도록 하기 위한 것입니다. 주어진 선택지 중 보수주의 개념에 가장 부합되는 항목은 '유형자산의 회수가능액이 장부가액에 미달하는 경우에 그 차액을 손실로 처리'입니다. 이는 자산의 가치가 감소한 경우, 즉시 손실을 인식하여 자산이 과대평가되는 것을 방지하는 보수주의적 접근을 보여줍니다. 다른 선택지들은 보수주의의 개념과는 관련이 적거나 반대되는 접근입니다.",opt_2
