날짜,시가,고가,저가,종가,거래량,등락률
2021-03-02,74000,74600,72400,72600,7231,-1.358695652173913
2021-03-03,72600,73100,71000,72900,23383,0.4132231404958678
2021-03-04,72500,72500,71200,71800,3238,-1.5089163237311385
2021-03-05,71700,71700,70500,71200,7449,-0.8356545961002786
2021-03-08,71600,71600,69600,69900,11993,-1.8258426966292134
2021-03-09,70000,70700,68800,70500,7498,0.8583690987124464
2021-03-10,70300,72600,69600,71000,17419,0.7092198581560284
2021-03-11,70600,72000,70600,71100,4697,0.14084507042253522
2021-03-12,71500,73500,71400,73300,7741,3.0942334739803097
2021-03-15,73400,73400,72500,72800,3256,-0.6821282401091405
2021-03-16,73800,73800,72800,73500,2389,0.9615384615384616
2021-03-17,73500,73600,72400,73300,3227,-0.27210884353741494
2021-03-18,73700,73700,72600,73000,2485,-0.4092769440654843
2021-03-19,72900,73000,71800,73000,4658,0.0
2021-03-22,73000,73000,71800,73000,3178,0.0
2021-03-23,72900,73100,71700,72300,5176,-0.9589041095890412
2021-03-24,72300,72500,71500,72500,3386,0.2766251728907331
2021-03-25,72800,73100,72100,72800,3458,0.41379310344827586
2021-03-26,72900,74300,72700,74300,7177,2.0604395604395602
2021-03-29,74600,74600,72800,74200,5885,-0.13458950201884254
2021-03-30,74200,74900,73800,74300,3519,0.13477088948787064
2021-03-31,74200,74900,74200,74700,3272,0.5383580080753702
