날짜,시가,고가,저가,종가,거래량,등락률
2017-07-03,4825,4825,4725,4790,4342,0.8421052631578947
2017-07-04,4790,4810,4725,4780,3805,-0.20876826722338201
2017-07-05,4810,4900,4730,4900,3925,2.510460251046025
2017-07-06,4900,5080,4900,5080,6734,3.6734693877551026
2017-07-07,5090,5100,4980,5040,3217,-0.7874015748031495
2017-07-10,5070,5070,4910,5030,2944,-0.1984126984126984
2017-07-11,5010,5040,4950,5000,2204,-0.5964214711729622
2017-07-12,5050,5090,4820,4850,5349,-3.0
2017-07-13,4945,4950,4850,4920,4475,1.443298969072165
2017-07-14,4900,5080,4900,5060,2414,2.8455284552845526
2017-07-17,5060,5140,5000,5040,2865,-0.3952569169960474
2017-07-18,5100,5100,4990,5050,1845,0.1984126984126984
2017-07-19,5080,5080,4975,5060,1312,0.19801980198019803
2017-07-20,5060,5090,5020,5080,1193,0.3952569169960474
2017-07-21,5090,5110,4850,5010,4990,-1.3779527559055118
2017-07-24,5030,5050,4970,5050,525,0.7984031936127743
2017-07-25,5020,5030,4940,5020,2087,-0.594059405940594
2017-07-26,4970,5000,4940,4995,5529,-0.49800796812749004
2017-07-27,5030,5030,4955,5020,1988,0.5005005005005005
2017-07-28,4970,5090,4955,5000,2000,-0.398406374501992
2017-07-31,4950,5020,4950,4995,1805,-0.1
