날짜,시가,고가,저가,종가,거래량,등락률
2021-05-03,18150,18300,17550,17550,17357,-3.8356164383561646
2021-05-04,17500,17750,16850,17500,17054,-0.2849002849002849
2021-05-06,17500,18400,17400,17950,10036,2.571428571428571
2021-05-07,17950,18300,17950,18250,13685,1.6713091922005572
2021-05-10,18350,19400,18350,19000,43027,4.10958904109589
2021-05-11,18750,18750,17400,18600,18883,-2.1052631578947367
2021-05-12,18750,18850,18050,18200,11185,-2.1505376344086025
2021-05-13,17950,18100,17500,17850,8543,-1.9230769230769231
2021-05-14,17950,18300,17850,18000,4383,0.8403361344537815
2021-05-17,18300,18300,17450,17550,10056,-2.5
2021-05-18,17850,18000,17650,17700,6299,0.8547008547008548
2021-05-20,17700,17950,17550,17850,6221,0.847457627118644
2021-05-21,17850,18250,17700,17950,7379,0.5602240896358543
2021-05-24,18000,18150,17400,17650,6767,-1.6713091922005572
2021-05-25,17950,17950,17500,17550,5858,-0.56657223796034
2021-05-26,17900,18150,17650,17950,7216,2.2792022792022792
2021-05-27,18050,18150,17800,18150,7775,1.1142061281337048
2021-05-28,18150,18350,17700,18300,6135,0.8264462809917356
2021-05-31,18300,18750,18150,18600,14363,1.639344262295082
